time_stamp,pm2.5_atm,pm10.0_atm,SensorID
2025-07-01T00:00:00Z,9.1,9.8,104916
2025-08-01T00:00:00Z,12.2,13.1,104916
2025-09-01T00:00:00Z,9,9.9,104916
2025-10-01T00:00:00Z,8.4,9.2,104916
2025-06-01T00:00:00Z,12.4,13,104924
2025-07-01T00:00:00Z,7.6,8,104924
2025-08-01T00:00:00Z,12.3,13.2,104924
2025-09-01T00:00:00Z,5.8,6.2,104924
2025-10-01T00:00:00Z,4.1,4.4,104924
2025-02-01T00:00:00Z,12.5,14.3,104926
2025-03-01T00:00:00Z,6,6.8,104926
2025-04-01T00:00:00Z,5.8,6.5,104926
2025-05-01T00:00:00Z,8,9,104926
2025-06-01T00:00:00Z,10.5,11.7,104926
2025-07-01T00:00:00Z,8.7,9.4,104926
2025-08-01T00:00:00Z,11.7,12.8,104926
2025-09-01T00:00:00Z,9.4,10.5,104926
2025-10-01T00:00:00Z,10.7,11.9,104926
2025-02-01T00:00:00Z,18.4,21.1,104940
2025-03-01T00:00:00Z,9.4,10.4,104940
2025-04-01T00:00:00Z,8.7,9.6,104940
2025-05-01T00:00:00Z,11.8,13,104940
2025-06-01T00:00:00Z,16,17.6,104940
2025-07-01T00:00:00Z,13.7,14.9,104940
2025-08-01T00:00:00Z,16,17.3,104940
2025-09-01T00:00:00Z,13.8,15.3,104940
2025-10-01T00:00:00Z,16.9,19.1,104940
2025-02-01T00:00:00Z,13.9,16.3,104942
2025-03-01T00:00:00Z,7.7,8.7,104942
2025-04-01T00:00:00Z,8.8,10,104942
2025-05-01T00:00:00Z,11.6,13.2,104942
2025-06-01T00:00:00Z,17,19.5,104942
2025-07-01T00:00:00Z,15.1,16.7,104942
2025-08-01T00:00:00Z,17.7,19.5,104942
2025-09-01T00:00:00Z,10.3,11.4,104942
2025-10-01T00:00:00Z,11.9,13.8,104942
2025-02-01T00:00:00Z,16.4,19.4,10544
2025-03-01T00:00:00Z,7.7,8.9,10544
2025-04-01T00:00:00Z,7.9,9,10544
2025-05-01T00:00:00Z,10,11.5,10544
2025-06-01T00:00:00Z,12.9,14.6,10544
2025-07-01T00:00:00Z,974.4,975.1,10544
2025-08-01T00:00:00Z,6.8,7.6,10544
2025-10-01T00:00:00Z,6.3,7.2,10544
2025-02-01T00:00:00Z,2.8,3.2,105704
2025-02-01T00:00:00Z,0.9,1.1,105812
2025-03-01T00:00:00Z,1.1,1.2,105812
2025-04-01T00:00:00Z,2.2,2.4,105812
2025-05-01T00:00:00Z,3.6,3.9,105812
